gene_id	WT1	WT2	WT3	Mutant1	Mutant2	Mutant3
CDIFF6300_000010	374	703	1187	1053	775	363
CDIFF6300_000020	768	1519	2428	1660	1201	723
CDIFF6300_000030	26	33	67	67	47	37
CDIFF6300_000040	86	217	331	330	210	130
CDIFF6300_000050	2349	3925	5949	4488	3087	1825
CDIFF6300_000060	8487	12672	20214	11685	8497	6291
CDIFF6300_000070	139	273	388	288	181	166
CDIFF6300_000080	134	221	313	283	215	159
CDIFF6300_000090	113	199	252	244	166	157
CDIFF6300_000100	219	360	574	439	340	228
CDIFF6300_000110	722	1270	1977	1513	1114	790
CDIFF6300_000160	20	34	62	89	105	53
CDIFF6300_000170	8	25	57	87	66	41
CDIFF6300_000180	4483	10685	17591	13577	10257	4106
CDIFF6300_000190	13	18	33	48	50	21
CDIFF6300_000210	56	109	148	229	150	93
CDIFF6300_000220	150	328	435	530	404	191
CDIFF6300_000230	472	965	1805	2129	1682	768
CDIFF6300_000240	3	4	7	40	33	26
CDIFF6300_000250	1111	1732	3369	1404	1091	678
CDIFF6300_000720	3	4	7	12	5	4
CDIFF6300_000730	4591	7672	11347	8525	6543	5087
CDIFF6300_000740	44686	65291	106674	56153	44390	40220
CDIFF6300_000750	91	182	279	481	444	290
CDIFF6300_000760	250	513	858	909	789	523
CDIFF6300_000770	980	1675	2762	2343	1804	1187
CDIFF6300_000780	11950	18576	29702	18548	13631	10751
CDIFF6300_000790	127	220	346	534	415	194
CDIFF6300_000800	60	128	202	262	211	152
CDIFF6300_000810	1128	1522	2993	1986	1544	829
CDIFF6300_000820	75	241	501	594	379	135
CDIFF6300_000830	24	61	109	76	47	34
CDIFF6300_000840	6	6	8	20	10	14
CDIFF6300_000850	32	56	66	64	49	40
CDIFF6300_000860	15	30	66	30	25	22
CDIFF6300_000870	16	36	58	37	29	27
CDIFF6300_000880	169	267	398	220	181	127
CDIFF6300_000890	384	588	854	512	356	268
CDIFF6300_000900	299	602	802	440	347	224
CDIFF6300_000910	551	876	1607	804	525	458
CDIFF6300_000920	1	12	23	11	14	7
CDIFF6300_000930	6	19	24	19	12	3
CDIFF6300_000940	41	32	104	54	54	18
CDIFF6300_000950	58	67	104	59	52	49
CDIFF6300_000960	2	1	3	4	0	1
CDIFF6300_000970	13	9	25	15	10	3
CDIFF6300_000980	22	82	143	122	62	40
CDIFF6300_000990	95	182	278	188	161	68
CDIFF6300_001000	214	404	629	428	346	138
CDIFF6300_001010	1506	3867	5812	8088	7000	5633
CDIFF6300_001020	17521	34744	54198	37002	27420	17952
CDIFF6300_001030	1909	3988	6965	4852	3547	1547
CDIFF6300_001040	24	25	46	123	36	34
CDIFF6300_001050	5858	9288	15060	10973	8217	6058
CDIFF6300_001060	2716	4212	7248	4142	3122	2317
CDIFF6300_001070	306	718	1055	1053	897	605
CDIFF6300_001080	554	1094	1603	1212	941	624
CDIFF6300_001090	443	674	1008	646	437	332
CDIFF6300_001100	3160	4426	6923	4344	3335	2604
CDIFF6300_001110	47273	74989	119771	87142	67254	41013
CDIFF6300_001120	361	775	1339	1368	1076	762
CDIFF6300_001130	823	1416	2415	2251	1845	1126
CDIFF6300_001140	3380	6490	9544	9991	7653	4893
CDIFF6300_001150	6585	12870	19065	15797	12231	6929
CDIFF6300_001160	17409	35782	55004	42620	31918	17275
CDIFF6300_001170	10387	20480	32477	27031	20366	10232
CDIFF6300_001180	11284	20477	39476	30509	22613	9906
CDIFF6300_001190	1730	3356	6085	4508	3736	1458
CDIFF6300_001200	14147	24690	39979	33751	25285	15221
CDIFF6300_001210	41097	68096	107004	76031	56840	40855
CDIFF6300_001220	6131	9316	17918	16992	13512	7486
CDIFF6300_001230	2477	4260	7882	14365	11612	7387
CDIFF6300_001240	38437	71428	115127	108412	82257	45621
CDIFF6300_001250	41313	67705	104846	77900	59837	35307
CDIFF6300_001260	3332	7581	10912	11212	9190	4048
CDIFF6300_001270	14377	31416	45558	37165	26717	12725
CDIFF6300_001280	9137	19814	27856	26394	19149	9634
CDIFF6300_001290	3744	8422	11249	11068	8014	4567
CDIFF6300_001300	19542	37122	53228	45264	32771	17617
CDIFF6300_001310	6351	11869	17541	14097	10004	5105
CDIFF6300_001320	5819	11867	15117	14584	10734	5267
CDIFF6300_001330	13117	27062	35779	32275	22791	12519
CDIFF6300_001340	5977	11807	15775	13742	10102	5511
CDIFF6300_001350	3107	6390	7857	6323	4540	2783
CDIFF6300_001360	4278	8244	10474	9399	6969	3604
CDIFF6300_001370	8147	16138	21806	17623	13165	6624
CDIFF6300_001380	5127	10508	14266	11792	8794	4179
CDIFF6300_001390	8283	16483	23218	18383	13364	6968
CDIFF6300_001400	1814	3657	5242	4440	3296	1692
CDIFF6300_001410	5500	11393	16076	14688	11151	5673
CDIFF6300_001420	6459	12906	18469	17950	13413	7348
CDIFF6300_001430	3651	7637	10341	11805	9062	4799
CDIFF6300_001440	6786	14996	22196	24736	18861	10579
CDIFF6300_001450	2342	4577	7246	6184	4726	2740
CDIFF6300_001460	6466	13829	21040	20712	16176	9442
CDIFF6300_001470	8388	17486	27943	32225	25067	15013
CDIFF6300_001480	2992	6136	10415	13652	10238	6169
CDIFF6300_001490	1806	3667	5972	11326	9172	5372
CDIFF6300_001500	384	754	1292	2070	1519	878
CDIFF6300_001510	390	798	1199	2074	1695	942
CDIFF6300_001520	377	811	1310	1719	1215	843
CDIFF6300_001530	2158	4080	6579	6912	5282	3162
CDIFF6300_001540	9019	18151	27744	21015	16136	8489
CDIFF6300_001550	11597	23609	35474	25550	18584	10557
CDIFF6300_001560	15170	31174	45735	35102	25885	14800
CDIFF6300_001570	7662	14023	23114	17398	12943	7207
CDIFF6300_001580	31	109	152	330	245	86
CDIFF6300_001590	54	167	293	441	300	104
CDIFF6300_001600	76	197	310	532	374	183
CDIFF6300_001610	146	310	485	599	432	257
CDIFF6300_001620	2777	6024	9745	7556	5868	2277
CDIFF6300_001630	5844	11986	23681	16060	11986	4025
CDIFF6300_001640	6	11	21	26	29	9
CDIFF6300_001910	432	1477	2426	2886	2108	731
CDIFF6300_001920	1117	2292	3734	4102	3238	1603
CDIFF6300_001930	493	956	1357	1419	1150	534
CDIFF6300_002130	214	270	517	299	220	165
CDIFF6300_002140	870	1315	2350	1487	1134	804
CDIFF6300_002150	2	4	1	0	0	0
CDIFF6300_002160	3127	6929	10899	12623	9566	5673
CDIFF6300_002170	8971	21621	32449	33112	21894	17049
CDIFF6300_002180	7064	17079	25171	27415	17397	13990
CDIFF6300_002190	4344	10855	16272	18616	12653	9276
CDIFF6300_002200	73113	164372	239011	232831	158210	109823
CDIFF6300_002210	72634	148275	217665	193815	132646	93542
CDIFF6300_002220	53063	102949	171845	134093	90362	61125
CDIFF6300_002230	1050	2321	3731	3619	2860	1588
CDIFF6300_002240	11218	20457	35489	19188	15915	9673
CDIFF6300_002250	15	41	98	117	132	50
CDIFF6300_002260	0	4	8	9	1	4
CDIFF6300_002270	401	748	1522	1411	1104	462
CDIFF6300_002280	44	83	164	177	147	83
CDIFF6300_002290	806	661	1689	587	454	213
CDIFF6300_002300	2	1	2	14	13	6
CDIFF6300_002310	636	1225	1955	1975	1478	675
CDIFF6300_002320	1553	3113	5371	4025	2687	1355
CDIFF6300_002330	36	63	130	72	55	30
CDIFF6300_002340	1865	3348	6899	5207	4020	2081
CDIFF6300_002350	144	173	359	106	118	66
CDIFF6300_002360	11	32	59	151	92	53
CDIFF6300_002370	11	18	25	61	53	31
CDIFF6300_002380	33	86	186	192	128	59
CDIFF6300_002390	1	4	7	8	4	0
